,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,subject
eta_1_pr,-0.6791647586743151,0.07349591511973702,1.0717338280987492,-2.58349056201281,-1.5058205454375584,-0.6726809752497402,0.051897205744660654,1.4695940361978161,212.64122930172314,1.008398685428924,308Q0PEVB8DPUFML3BKB70KL6Q8I9Z
eta_2_pr,0.8341889327846438,0.017614632951161772,0.40549831341531795,0.19583015413011245,0.5426797124925542,0.7749056439636908,1.0632806269777775,1.7747135630038597,529.9451337574624,0.9990510667995773,308Q0PEVB8DPUFML3BKB70KL6Q8I9Z
w,0.5007056268769647,0.010910905446115804,0.2873141475103624,0.02747321755526082,0.2521756614090699,0.5040744822179934,0.7459444599339846,0.974450532086109,693.4137328155226,1.0066872979900257,308Q0PEVB8DPUFML3BKB70KL6Q8I9Z
beta_1,-0.17306399125481786,0.32718394181677657,4.55173850460601,-15.958137367747106,-0.2895123629572835,0.5010789140114383,1.2931912698230623,6.596327381302841,193.53996021532234,1.0022830886380485,308Q0PEVB8DPUFML3BKB70KL6Q8I9Z
beta_2,2.9321169228896458,0.02271301679260153,0.5248801627463375,1.9798400760449024,2.5683056796691055,2.8943234546299053,3.2720564412530884,4.064109027270026,534.0361727751944,1.0032953475385125,308Q0PEVB8DPUFML3BKB70KL6Q8I9Z
eta_1,0.3221209955656506,0.017838900384499982,0.28117051625416467,0.004753802774969739,0.06619754024674823,0.2504615229064973,0.5207182986622219,0.9290223949256287,248.4296319433901,1.0101181007347337,308Q0PEVB8DPUFML3BKB70KL6Q8I9Z
eta_2,0.7799284119272819,0.003982944868568907,0.10066784469054656,0.5777118441759801,0.7064618949935175,0.780883393569362,0.8561306237969171,0.9619354534699868,638.8118310344161,0.9991361341185035,308Q0PEVB8DPUFML3BKB70KL6Q8I9Z
lp__,-240.65917174898308,0.10354688604485339,1.7685330955725338,-244.78575602031285,-241.62531540477391,-240.4054280031893,-239.32404671944215,-238.18536316154353,291.7106580741443,0.998737070808875,308Q0PEVB8DPUFML3BKB70KL6Q8I9Z
w_pr,-1.7099727214093212,0.10394584678060825,0.7152987783597123,-3.0486600107438506,-2.1868385017634915,-1.7532031056250892,-1.2624535459334674,-0.21539771924672813,47.35443765393296,1.06555156068478,308XBLVESI4LB741RISGCYG2G16RBR
beta_1_pr,0.5588731378629846,0.09624279004114886,0.4502591610472531,0.18104830860009902,0.2629160313411555,0.3275221016533947,0.8088586447025822,1.685004156157829,21.88712441037425,1.1528308589212368,308XBLVESI4LB741RISGCYG2G16RBR
beta_2_pr,0.32917079658603765,0.0021141250824865433,0.052427577168565165,0.23337212024842516,0.2933253603767732,0.3280378100057634,0.36257159150816554,0.4400531318587482,614.9760726603811,1.0021987891413608,308XBLVESI4LB741RISGCYG2G16RBR
